ChIN,Annotation1,Annotation2,ID
3,Zm00001d027581,Zm00001d027585,578
3,Zm00001d027582,Zm00001d027585,579
3,Zm00001d027582,Zm00001d027585,580
6,Zm00001d027583,Zm00001d027585,581
26,Zm00001d027587,Zm00001d027588,582
3,Zm00001d027588,Zm00001d013944,583
3,Zm00001d027588,Zm00001d013945,584
5,Zm00001d027589,Zm00001d027595,585
11,Zm00001d027589,Zm00001d027595,586
3,Zm00001d027589,Zm00001d027593,587
6,Zm00001d027590,Zm00001d027592,588
3,Zm00001d027590,Zm00001d027595,589
14,Zm00001d027593,Zm00001d027595,590
3,Zm00001d027593,Zm00001d027596,591
9,Zm00001d027595,Zm00001d027596,592
51,Zm00001d027595,Zm00001d027597,593
51,Zm00001d027595,Zm00001d027598,594
30,Zm00001d027596,Zm00001d027597,595
30,Zm00001d027596,Zm00001d027598,596
3,Zm00001d027596,Zm00001d027612,597
5,Zm00001d027596,Zm00001d027598,598
4,Zm00001d027597,Zm00001d027609,599
3,Zm00001d027605,Zm00001d045046,600
3,Zm00001d027607,Zm00001d027609,601
9,Zm00001d027607,Zm00001d027608,602
9,Zm00001d027607,Zm00001d027609,603
65,Zm00001d027612,Zm00001d027616,604
65,Zm00001d027613,Zm00001d027616,605
65,Zm00001d027612,Zm00001d027618,606
65,Zm00001d027613,Zm00001d027618,607
69,Zm00001d027612,Zm00001d027618,608
69,Zm00001d027613,Zm00001d027618,609
69,Zm00001d027612,Zm00001d027619,610
69,Zm00001d027613,Zm00001d027619,611
3,Zm00001d027612,Zm00001d027618,612
3,Zm00001d027612,Zm00001d027619,613
11,Zm00001d027612,Zm00001d027619,614
11,Zm00001d027613,Zm00001d027619,615
5,Zm00001d027612,Zm00001d027619,616
5,Zm00001d027613,Zm00001d027619,617
3,Zm00001d027612,Zm00001d027619,618
3,Zm00001d027613,Zm00001d027619,619
3,Zm00001d027613,Zm00001d027619,620
6,Zm00001d027613,Zm00001d027619,621
6,Zm00001d027613,Zm00001d027619,622
4,Zm00001d027613,Zm00001d027619,623
3,Zm00001d027618,Zm00001d027619,624
4,Zm00001d027618,Zm00001d027620,625
4,Zm00001d027618,Zm00001d027621,626
3,Zm00001d027618,Zm00001d027622,627
5,Zm00001d027619,Zm00001d027621,628
3,Zm00001d027619,Zm00001d027622,629
