Annotation1,Annotation2,ID
Zm00001d028385,Zm00001d028386,440
Zm00001d028388,Zm00001d028398,441
Zm00001d028392,Zm00001d028396,442
Zm00001d028392,Zm00001d028400,443
Zm00001d028396,Zm00001d028398,444
Zm00001d028396,Zm00001d022709,445
Zm00001d028398,Zm00001d028399,446
Zm00001d028398,Zm00001d028405,447
Zm00001d022709,Zm00001d028399,448
Zm00001d028399,Zm00001d028400,449
Zm00001d028400,Zm00001d028424,450
Zm00001d028400,Zm00001d028405,451
Zm00001d022710,Zm00001d028402,452
Zm00001d028402,Zm00001d028405,453
Zm00001d028405,Zm00001d028410,454
Zm00001d028409,Zm00001d028410,455
Zm00001d028410,Zm00001d028412,456
Zm00001d028412,Zm00001d028414,457
Zm00001d028422,Zm00001d028424,458
Zm00001d028424,Zm00001d028425,459
Zm00001d028424,Zm00001d028427,460
Zm00001d028438,Zm00001d028538,461
Zm00001d028438,Zm00001d028569,462
Zm00001d028438,Zm00001d028443,463
Zm00001d028438,Zm00001d028481,464
Zm00001d028438,Zm00001d028439,465
Zm00001d028439,Zm00001d028440,466
Zm00001d028455,Zm00001d028464,467
Zm00001d028455,Zm00001d028490,468
Zm00001d028455,Zm00001d028493,469
Zm00001d028457,Zm00001d028464,470
Zm00001d028458,Zm00001d022713,471
Zm00001d028464,Zm00001d028490,472
Zm00001d028464,Zm00001d028490,473
Zm00001d028464,Zm00001d028915,474
Zm00001d028464,Zm00001d028472,475
Zm00001d028465,Zm00001d028472,476
Zm00001d028472,Zm00001d028474,477
Zm00001d028472,Zm00001d028481,478
Zm00001d028472,Zm00001d028473,479
Zm00001d028473,Zm00001d028477,480
Zm00001d028473,Zm00001d028481,481
Zm00001d028474,Zm00001d028481,482
Zm00001d028477,Zm00001d028481,483
Zm00001d028486,Zm00001d028490,484
Zm00001d028490,Zm00001d028493,485
Zm00001d028493,Zm00001d028495,486
Zm00001d028497,Zm00001d028502,487
Zm00001d028504,Zm00001d028511,488
Zm00001d028505,Zm00001d028509,489
Zm00001d028510,Zm00001d028511,490
Zm00001d028511,Zm00001d028513,491
Zm00001d028511,Zm00001d028512,492
Zm00001d028512,Zm00001d028513,493
Zm00001d028512,Zm00001d028514,494
Zm00001d028512,Zm00001d028515,495
Zm00001d028513,Zm00001d028514,496
Zm00001d028514,Zm00001d028515,497
Zm00001d028514,Zm00001d028529,498
Zm00001d028515,Zm00001d028522,499
Zm00001d028526,Zm00001d028528,500
Zm00001d028529,Zm00001d028530,501
Zm00001d028533,Zm00001d028536,502
Zm00001d028533,Zm00001d028538,503
Zm00001d028533,Zm00001d028555,504
Zm00001d028534,Zm00001d028535,505
Zm00001d028536,Zm00001d028538,506
Zm00001d028536,Zm00001d028540,507
Zm00001d028538,Zm00001d028540,508
Zm00001d028538,Zm00001d028542,509
Zm00001d028538,Zm00001d028547,510
Zm00001d028542,Zm00001d028547,511
Zm00001d028543,Zm00001d028546,512
Zm00001d028547,Zm00001d028550,513
Zm00001d028547,Zm00001d028569,514
Zm00001d028550,Zm00001d028569,515
Zm00001d028554,Zm00001d028557,516
Zm00001d028555,Zm00001d028570,517
Zm00001d028558,Zm00001d028564,518
Zm00001d028558,Zm00001d028560,519
Zm00001d028565,Zm00001d028576,520
Zm00001d028565,Zm00001d028569,521
Zm00001d028569,ENSRNA049437760,522
Zm00001d028569,Zm00001d028597,523
Zm00001d028569,Zm00001d028671,524
Zm00001d028569,Zm00001d028713,525
Zm00001d028571,Zm00001d028709,526
Zm00001d028571,Zm00001d028574,527
Zm00001d028574,Zm00001d028576,528
Zm00001d028574,Zm00001d028580,529
Zm00001d028574,ENSRNA049437760,530
Zm00001d028574,Zm00001d028575,531
Zm00001d028576,Zm00001d028580,532
Zm00001d028576,Zm00001d028590,533
Zm00001d028577,Zm00001d028580,534
Zm00001d028579,Zm00001d028585,535
Zm00001d028579,Zm00001d028587,536
Zm00001d028585,Zm00001d028586,537
Zm00001d028593,Zm00001d028596,538
Zm00001d028598,Zm00001d028612,539
Zm00001d028599,Zm00001d022717,540
Zm00001d022717,Zm00001d028606,541
Zm00001d022717,Zm00001d028608,542
Zm00001d028603,Zm00001d028606,543
Zm00001d028603,Zm00001d028608,544
Zm00001d028608,Zm00001d028609,545
Zm00001d028613,Zm00001d028623,546
Zm00001d028616,Zm00001d028619,547
Zm00001d028619,Zm00001d028620,548
Zm00001d028623,Zm00001d028625,549
Zm00001d028623,Zm00001d028630,550
Zm00001d028631,Zm00001d028639,551
Zm00001d028642,Zm00001d028649,552
Zm00001d028647,Zm00001d028650,553
Zm00001d028650,Zm00001d028671,554
Zm00001d028651,Zm00001d028653,555
Zm00001d028651,Zm00001d028655,556
Zm00001d028657,Zm00001d028660,557
Zm00001d028661,Zm00001d028662,558
Zm00001d028661,Zm00001d028664,559
Zm00001d028661,Zm00001d028671,560
Zm00001d028662,Zm00001d028664,561
Zm00001d028664,Zm00001d028669,562
Zm00001d028671,Zm00001d028714,563
Zm00001d028671,Zm00001d028672,564
Zm00001d028671,ENSRNA049439996,565
Zm00001d028672,Zm00001d028675,566
