Gene,Expression
MH01g0070900,0
MH01g0071000,0.291917
MH01g0071100,0
MH01g0071200,0.0613795
MH01g0071300,4.36318
MH01g0071400,42.7684
MH01g0071500,7.9832
MH01g0071600,10.8535
MH01g0071700,4.99188
MH01g0071800,8.26569
MH01g0071900,0.0243036
MH01g0072000,0
MH01g0072100,0
MH01g0072200,0
MH01g0072300,0
MH01g0072400,0.11702
MH01g0072500,0
MH01g0072600,17.1878
MH01g0072700,0.0167181
MH01g0072800,0
MH01g0072900,0
MH01g0073000,0
MH01g0073100,0
MH01g0073200,0.102905
MH01g0073300,0
MH01g0073400,0
MH01g0073500,17.3971
MH01g0073600,0.272962
MH01g0073700,56.9853
MH01g0073800,44.374
MH01g0073900,31.927
MH01g0074000,0
MH01g0074100,0
MH01g0074200,4.49981
MH01g0074300,0
MH01g0074400,6.96632
MH01g0074500,0
MH01g0074600,0.27678
MH01g0074700,0.934866
MH01g0074800,0.402835
MH01g0074900,4.18233
MH01g0075000,0
MH01g0075100,0
MH01g0075200,0.0798448
MH01g0075300,0.272303
MH01g0075400,0
MH01g0075500,0
MH01g0075600,0.189651
MH01g0075700,0.102345
MH01g0075800,0
MH01g0075900,0
MH01g0076000,0.0951005
MH01g0076100,0
MH01g0076200,0
MH01g0076300,0
MH01g0076400,0.11243
MH01g0076500,32.9171
MH01g0076600,0
MH01g0076700,0
MH01g0076800,0
MH01g0076900,13.076
MH01g0077000,6.77216
MH01g0077100,15.5274
MH01g0077200,36.658
MH01g0077300,1.28418
MH01g0077400,6.02801
MH01g0077500,1.36057
MH01g0077600,0
MH01g0077700,0.35135
MH01g0077800,0
MH01g0077900,5.42504
MH01g0078000,0
MH01g0078100,0
MH01g0078200,26.9688
MH01g0078300,3.07261
MH01g0078400,20.4811
MH01g0078500,31.6714
MH01g0078600,5.39095
MH01g0078700,3.96849
MH01g0078800,1.01298
MH01g0078900,0
MH01g0079000,7.27964
MH01g0079100,66.2493
MH01g0079200,0.907977
MH01g0079300,1.183
MH01g0079400,2.03777
MH01g0079500,6.97516
MH01g0079600,0
MH01g0079700,78.663
MH01g0079800,8.2936
MH01g0079900,9.52177
MH01g0080000,24.9815
MH01g0080100,14.1154
MH01g0080200,11.7247
MH01g0080300,18.2735
MH01g0080400,0
MH01g0080500,0
MH01g0080600,0
MH01g0080700,0
MH01g0080800,0
MH01g0080900,0.489667
MH01g0081000,0
MH01g0081100,18.1852
MH01g0081200,0
MH01g0081300,0
MH01g0081400,8.77024
MH01g0081500,0
MH01g0081600,21.1024
MH01g0081700,0
MH01g0081800,0
MH01g0081900,7.77737
MH01g0082000,4.04863
MH01g0082100,3.60462
MH01g0082200,8.48836
MH01g0082300,23.6865
MH01g0082400,0.12371
MH01g0082500,1.41075
MH01g0082600,0.145312
MH01g0082700,0.47802
MH01g0082800,16.4575
MH01g0082900,0.193556
MH01g0083000,0
MH01g0083100,0
MH01g0083200,9.5997
MH01g0083300,0.0343423
MH01g0083400,14.9407
MH01g0083500,14.4742
MH01g0083600,12.3852
MH01g0083700,21.1158
MH01g0083800,115.943
MH01g0083900,5.11177
MH01g0084000,18.2495
MH01g0084100,0.167152
MH01g0084200,15.0317
MH01g0084300,31.7294
MH01g0084400,0
MH01g0084500,0
MH01g0084600,0
MH01g0084700,0
MH01g0084800,0
MH01g0084900,0
MH01g0085000,0
MH01g0085100,0.43037
MH01g0085200,0
MH01g0085300,0
MH01g0085400,2.02535
MH01g0085500,10.3206
MH01g0085600,4.21515
MH01g0085700,4.64669
MH01g0085800,0
MH01g0085900,23.5456
MH01g0086000,2.11191
MH01g0086100,4.20298
MH01g0086200,0
MH01g0086300,8.88941
MH01g0086400,12.9131
MH01g0086500,57.099
MH01g0086600,6.04743
MH01g0086700,0
MH01g0086800,1.56044
MH01g0086900,0.133317
MH01g0087000,0
MH01g0087100,1.06818
MH01g0087200,1.61269
MH01g0087300,0
MH01g0087400,0.837186
MH01g0087500,0.784131
MH01g0087600,7.46521
MH01g0087700,4.991
MH01g0087800,4.05987
MH01g0087900,0
MH01g0088000,0
MH01g0088100,0
MH01g0088200,1.96174
MH01g0088300,23.732
MH01g0088400,2.14617
MH01g0088500,0.0207066
MH01g0088600,0
MH01g0088700,26.7121
MH01g0088800,42.4476
MH01g0088900,5.34495
MH01g0089000,0
MH01g0089100,6.28228
MH01g0089200,14.5056
MH01g0089300,0
MH01g0089400,2.96934
MH01g0089500,14.7462
MH01g0089600,12.7065
MH01g0089700,5.42701
MH01g0089800,20.0339
MH01g0089900,32.9614
MH01g0090000,13.5576
MH01g0090100,11.4965
MH01g0090200,7.69909
MH01g0090300,38.2017
MH01g0090400,5.85801
MH01g0090500,6.48189
MH01g0090600,0
MH01g0090700,51.3154
MH01g0090800,2.4048
MH01g0090900,0.268479
MH01g0091000,0
MH01g0091100,2.48308
MH01g0091200,1.85556
MH01g0091300,57.8026
MH01g0091400,0
MH01g0091500,6.42368
MH01g0091600,0
MH01g0091700,4.91485
MH01g0091800,0
MH01g0091900,0.0364888
MH01g0092000,0
MH01g0092100,0
MH01g0092200,0.0200954
MH01g0092300,0.568404
MH01g0092400,45.5135
MH01g0092500,7.05293
MH01g0092600,4.38486
MH01g0092700,2.90682
MH01g0092800,554.215
MH01g0092900,0
MH01g0093000,12.3871
MH01g0093100,9.34383
MH01g0093200,3.2251
MH01g0093300,0.0954245
MH01g0093400,1.07528
MH01g0093500,4.53472
MH01g0093600,0.876983
MH01g0093700,25.6771
MH01g0093800,1.32153
MH01g0093900,0.0499831
MH01g0094000,6.45223
MH01g0094100,0.143669
MH01g0094200,31.3208
MH01g0094300,0
MH01g0094400,8.09375
MH01g0094500,3.96827
MH01g0094600,48.9407
MH01g0094700,0.46985
MH01g0094800,62.9162
MH01g0094900,0
MH01g0095000,72.8347
MH01g0095100,22.2379
MH01g0095200,8.29714
MH01g0095300,0.963384
MH01g0095400,0
MH01g0095500,1.40476
MH01g0095600,0
MH01g0095700,0
MH01g0095800,0
MH01g0095900,22.9634
MH01g0096000,0
MH01g0096100,0
MH01g0096200,0.0339235
MH01g0096300,0
MH01g0096400,33.8316
MH01g0096500,35.674
MH01g0096600,0.630833
MH01g0096700,0
MH01g0096800,28.9789
MH01g0096900,8.64355
MH01g0097000,0.529118
MH01g0097100,0
MH01g0097200,13.5546
MH01g0097300,24.7654
MH01g0097400,5.37813
MH01g0097500,86.6979
MH01g0097600,0
MH01g0097700,0
MH01g0097800,0
MH01g0097900,21.6223
MH01g0098000,0
MH01g0098100,0
MH01g0098200,5.18987
MH01g0098300,52.0316
MH01g0098400,13.3718
MH01g0098500,2.01716
MH01g0098600,2.80964
MH01g0098700,0
MH01g0098800,72.298
MH01g0098900,295.074
MH01g0099000,0
MH01g0099100,17.2314
MH01g0099200,121.243
MH01g0109200,5.49527
MH01g0109300,20.227
MH01g0109400,0
MH01g0109500,0
MH01g0109600,0
MH01g0109700,0
MH01g0109800,0
MH01g0109900,0
MH01g0110000,8.07344
MH01g0110100,0.504933
MH01g0110200,5.02575
MH01g0110300,0
MH01g0110400,0
MH01g0110500,1.4713
MH01g0110600,43.4484
MH01g0110700,6.262
MH01g0110800,0.477184
MH01g0110900,0
MH01g0111000,14.9551
MH01g0111100,0
MH01g0111200,0.283164
MH01g0111300,0
MH01g0111400,0
MH01g0111500,0.0390349
MH01g0111600,7.71168
MH01g0111700,0
MH01g0111800,0.393053
MH01g0111900,0.438677
MH01g0112000,0
MH01g0112100,0.196131
MH01g0112200,22.263
MH01g0112300,23.016
MH01g0112400,20.1384
MH01g0112500,0.0263126
MH01g0112600,3.25256
MH01g0112700,12.4607
MH01g0112800,7.1983
MH01g0112900,0
MH01g0113000,0
MH01g0113100,0
MH01g0113200,3462.61
MH01g0113300,0
MH01g0113400,19.8597
MH01g0113500,2.40754
MH01g0113600,33.3031
MH01g0113700,1.0892
MH01g0113800,0.052105
MH01g0113900,0.062863
MH01g0114000,0
MH01g0114100,0
MH01g0114200,85.853
MH01g0114300,0
MH01g0114400,0
MH01g0114500,0
MH01g0114600,0
MH01g0114700,0
MH01g0114800,0
MH01g0114900,0
MH01g0115000,0
MH01g0115100,0.542447
MH01g0115200,9.78102
MH01g0115300,0
MH01g0115400,0
MH01g0115500,0
MH01g0115600,33.7037
MH01g0115700,0
MH01g0115800,1.02255
MH01g0115900,27.3884
MH01g0116000,0
MH01g0116100,2.58136
MH01g0116200,5.23698
MH01g0116300,0
MH01g0116400,0
MH01g0116500,7.45431
MH01g0116600,0
MH01g0116700,5.93111
MH01g0116800,1.97471
MH01g0116900,1.82539
MH01g0117000,0.053127
MH01g0117100,0
MH01g0117200,1.47781
MH01g0117300,17.252
MH01g0117400,0.244374
MH01g0117500,0
MH01g0117600,9.63741
MH01g0117700,6.89438
MH01g0117800,14.3765
MH01g0117900,61.5328
MH01g0118000,0
MH01g0118100,16.827
MH01g0118200,9.27562
MH01g0118300,1.52779
MH01g0118400,0
MH01g0118500,0
MH01g0118600,15.1685
MH01g0118700,11.9516
MH01g0118800,1.71008
MH01g0118900,0.988521
MH01g0119000,1.83342
MH01g0119100,0
MH01g0119200,22.3629
MH01g0119300,2.68578
MH01g0119400,1.4842
MH01g0119500,0
MH01g0119600,0
MH01g0119700,0
MH01g0119800,7.20458
MH01g0119900,44.2383
MH01g0120000,59.2008
MH01g0120100,0
MH01g0120200,15.5209
MH01g0120300,0.065801
MH01g0120400,0.299916
MH01g0120500,5.59456
MH01g0120600,22.4448
MH01g0120700,0.10542
MH01g0120800,0
MH01g0120900,0
MH01g0121000,0
MH01g0121100,1.93893
MH01g0121200,22.5524
MH01g0121300,0
MH01g0121400,0
MH01g0121500,5.40249
MH01g0121600,0.658583
MH01g0121700,14.8544
MH01g0121800,62.5327
