tracking_id,ID,ear_2,ear_1,ear_0,average-ear,ear-category,tassel_2,tassel_1,tassel_0,average-tassel,tassel-category
Zm00001d004864,4286,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004865,4287,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004866,4288,0.0557616,0,0,0.0185872,unexpressed,0,0.0642849,0,0.0214283,unexpressed
Zm00001d004867,4289,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004868,4290,12.3577,10.6872,11.8982,11.6477,expressed,10.9932,10.9614,11.2119,11.0555,expressed
Zm00001d004869,4291,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004870,4292,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004871,4293,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004872,4294,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004874,4295,1.20046,0.713814,0.595164,0.836479333,expressed,1.97424,1.32484,3.3724,2.223826667,expressed
Zm00001d004875,4296,17.241,18.1705,17.9446,17.78536667,highly-expressed,20.6837,21.3646,21.9663,21.3382,highly-expressed
Zm00001d004876,4297,10.4187,8.29436,6.54628,8.41978,expressed,8.59922,5.54138,8.28828,7.476293333,expressed
Zm00001d004877,4298,1.61051,2.16841,2.37013,2.049683333,expressed,1.87441,2.24176,2.09275,2.06964,expressed
Zm00001d004880,4299,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004881,4300,0.47233,0,0,0.157443333,expressed,0,1.04248,0.437935,0.493471667,expressed
Zm00001d004882,4301,3.247,2.09471,3.20301,2.84824,expressed,1.96073,1.97717,1.3938,1.777233333,expressed
Zm00001d004884,4302,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004885,4303,0.162538,0.0495435,0.090112,0.100731167,expressed,0.0438551,0.428488,0,0.1574477,expressed
Zm00001d004886,4304,0,0.554392,0,0.184797333,expressed,0,0,0,0,unexpressed
