Annotation1,exp
TraesCS5B02G226100,0.56
TraesCS5A02G101600,1.25
TraesCS1A02G388800,7.22
TraesCS2A02G318900,112.64
TraesCS2B02G113200,12.36
TraesCS4B02G058500,8.26
TraesCS3D02G040300,0.0
TraesCS3B02G328100,2.65
TraesCS2A02G279000,7.32
TraesCS7D02G226600,0.01
TraesCS2A02G432200,0.0
TraesCS3A02G537300,0.0
TraesCS5D02G419100,0.67
TraesCS7D02G475000,0.09
TraesCS3B02G297700,0.63
TraesCS2D02G368400,2.72
TraesCS1D02G147600,14.22
TraesCS1A02G272200,2.05
TraesCS6A02G361800,0.0
TraesCS7D02G385200,0.2
TraesCS4B02G141500,0.18
TraesCS3D02G171400,2.21
TraesCS1D02G281000,12.88
TraesCS5B02G499800,11.43
TraesCS6D02G396500,0.07
TraesCS7B02G042200,0.39
TraesCS4D02G255300,0.0
TraesCS5D02G130600,0.44
TraesCS7D02G128000,0.0
TraesCS2B02G106400,0.0
TraesCS6B02G227000,1.28
TraesCS7B02G016700,0.78
TraesCS3A02G479100,0.0
TraesCS7A02G499700,0.02
TraesCS4A02G313900,0.0
TraesCS5B02G383500,0.05
TraesCS7B02G257800,0.0
TraesCS6B02G429400,37.48
TraesCS7D02G347300,1.27
TraesCS4D02G250400,1.4
TraesCS1D02G133100,9.09
TraesCS3B02G085400,0.0
TraesCS3A02G476300,0.0
TraesCS6A02G386300,2.57
TraesCS5B02G192800,0.41
TraesCS5D02G535200,0.0
TraesCS3B02G242000,10.01
TraesCS2B02G540100,126.23
TraesCS7A02G325500,50.45
TraesCS4D02G256200,0.27
TraesCS5A02G287000,0.01
TraesCS3B02G554900,0.0
TraesCS2A02G351200,0.0
TraesCS6A02G114900,0.01
TraesCS3A02G415800,0.0
TraesCS1A02G061900,0.0
TraesCS4D02G178100,2.22
TraesCS1D02G269100,1.83
TraesCS5A02G073500,0.22
TraesCS3B02G451200,7.12
TraesCS6B02G360700,0.0
TraesCS7A02G538300,0.0
TraesCS5A02G295000,0.0
TraesCS5D02G378000,67.72
TraesCS7A02G514600,4.21
TraesCS3D02G495300,0.0
TraesCS4D02G355800,0.0
TraesCS3D02G174400,0.04
TraesCS5B02G085000,1.31
TraesCS5B02G523900,0.26
TraesCS1B02G284200,3.01
TraesCS3B02G345200,0.08
TraesCS3B02G142300,0.08
TraesCS4B02G294500,0.0
TraesCS7D02G113800,0.02
TraesCS5D02G324700,2.34
TraesCS2B02G480700,0.0
TraesCS6D02G024200,0.0
TraesCS6B02G082800,0.3
TraesCS5A02G510900,0.35
TraesCS1B02G353900,1.52
TraesCS7B02G147900,0.02
TraesCS5A02G528100,4.03
TraesCS1A02G311200,0.02
TraesCS3B02G563200,9.16
TraesCS7A02G441700,0.0
TraesCS7A02G143600,0.34
TraesCS6A02G269000,3.24
TraesCS3D02G227000,0.0
TraesCS2A02G116500,0.01
TraesCS5B02G460500,0.77
TraesCS7D02G204700,0.0
TraesCS2D02G378800,0.16
TraesCS1B02G059100,31.02
TraesCS5D02G552700,0.0
TraesCS5B02G278500,22.55
TraesCS2B02G618600,0.04
TraesCS5B02G222600,0.01
TraesCS5D02G394900,0.0
TraesCS5D02G359000,0.01
TraesCS3D02G299900,11.03
TraesCS7B02G166300,11.74
TraesCS7D02G385100,4.07
TraesCS5D02G483600,0.09
TraesCS5A02G299600,2.42
TraesCS3B02G165300,0.0
TraesCS4B02G044900,1.17
TraesCS7D02G385800,0.32
TraesCS7A02G161400,0.03
TraesCS5B02G269500,0.28
TraesCS2B02G192300,14.25
TraesCS7A02G010200,3.06
TraesCS7D02G040200,1.11
TraesCS6D02G313100,207.54
TraesCS3D02G253500,6.56
TraesCS3B02G190800,0.0
TraesCS5D02G475100,0.0
TraesCS6A02G410500,0.0
TraesCS7D02G484000,0.02
TraesCS5B02G566200,0.02
TraesCS4B02G048200,0.0
TraesCS3A02G004400,0.0
TraesCS4A02G250300,0.0
TraesCS3B02G603000,0.0
TraesCS2A02G421200,0.03
TraesCS7D02G100200,0.0
TraesCS3A02G009700,0.0
TraesCS1D02G055700,6.25
TraesCS4D02G336200,0.0
TraesCS1A02G344400,0.0
TraesCS5A02G198200,17.28
TraesCS1B02G009100,0.06
TraesCS3A02G219900,0.01
TraesCS1B02G447800,0.18
TraesCS5B02G455700,0.22
TraesCS6A02G377100,0.0
TraesCS7D02G201300,8.93
TraesCS4A02G322500,2.9
TraesCS5D02G243700,0.89
TraesCS5D02G394800,0.45
TraesCS6D02G273100,1.94
TraesCS2B02G346200,10.64
TraesCS2D02G245100,2.4
TraesCS4A02G270100,0.45
TraesCS3A02G035800,0.52
TraesCS5D02G388400,3.62
TraesCS7B02G237800,1.82
TraesCS2D02G122400,0.0
TraesCS3D02G451100,0.02
TraesCS5D02G448100,2.54
TraesCS3B02G063400,2.43
TraesCS7A02G065700,0.0
TraesCS7D02G180900,9.4
TraesCS7D02G017400,0.02
TraesCS7A02G331900,9.27
TraesCS5A02G397800,4.6
TraesCS2A02G566700,10.8
TraesCS1D02G089600,0.0
TraesCS3D02G179700,7.15
TraesCS5D02G567800,0.0
TraesCS5D02G471400,0.0
TraesCS6B02G247400,1.26
TraesCS1D02G139000,0.01
TraesCS5D02G521000,0.0
TraesCS7B02G281000,0.15
TraesCS6A02G127300,0.02
TraesCS7B02G077600,5.5
TraesCS4B02G267900,0.0
TraesCS4B02G133700,3.81
TraesCS4D02G048300,1.89
TraesCS4D02G005100,0.0
TraesCS3B02G346900,0.43
TraesCS7B02G045600,1.04
TraesCS1B02G364800,10.29
TraesCS5A02G238800,0.99
TraesCS4D02G222100,4.22
TraesCS4A02G369800,0.0
TraesCS3B02G552200,0.52
TraesCS4D02G170400,0.53
TraesCS7B02G291900,0.83
TraesCS4D02G033900,0.01
TraesCS1B02G130900,12.23
TraesCS7D02G530600,0.0
TraesCS1D02G302500,0.0
TraesCS3D02G279600,0.64
TraesCS7D02G105900,31.16
TraesCS6D02G367500,0.4
TraesCS4D02G203300,7.89
TraesCS4A02G272500,6.68
TraesCS5B02G268500,0.0
TraesCS6D02G133700,0.06
TraesCS4A02G218900,1.98
TraesCS1A02G300100,0.13
TraesCS2A02G542500,0.0
TraesCS5D02G247000,0.0
TraesCS6D02G094400,6.26
TraesCS5B02G442900,0.16
TraesCS2B02G476700,4.73
TraesCS5B02G497400,0.01
TraesCS4D02G271400,0.2
TraesCS6B02G182000,0.0
TraesCS4B02G169600,0.05
TraesCS7D02G323200,0.24
TraesCS5D02G542900,0.0
TraesCS7B02G331200,4.87
TraesCS4D02G302500,4.14
TraesCS4A02G063900,0.87
TraesCS6A02G164600,0.01
TraesCS2A02G395300,2.11
TraesCS5D02G483500,0.36
TraesCS5D02G422700,0.27
TraesCS5B02G367900,0.0
TraesCS7A02G258900,0.01
TraesCS6D02G125300,0.0
TraesCS7A02G009200,0.05
TraesCS3D02G254500,35.61
TraesCS3B02G515700,0.0
TraesCS2B02G004400,0.0
TraesCS1A02G118500,0.0
TraesCS2A02G274200,3.85
TraesCS1B02G399600,0.92
TraesCS2B02G291400,0.77
TraesCS5B02G427400,12.96
TraesCS5B02G351900,5.8
TraesCS2D02G372200,0.0
TraesCS1D02G329900,0.0
TraesCS2D02G360100,0.08
TraesCS3B02G141200,1.13
TraesCS1A02G306700,0.08
TraesCS1D02G035200,0.0
TraesCS3B02G509900,0.0
TraesCS5A02G164500,0.61
TraesCS6B02G433600,0.16
TraesCS5D02G114500,0.42
TraesCS1B02G421100,0.0
TraesCS1D02G357800,0.0
TraesCS5D02G496700,2.11
TraesCS1D02G433600,0.02
TraesCS4A02G334000,0.0
TraesCS3D02G513700,3.72
TraesCS4D02G268200,0.0
TraesCS3D02G259200,0.0
TraesCS2A02G343100,8.06
TraesCS7A02G241700,7.11
TraesCS3D02G321000,0.0
TraesCS6B02G181100,2.85
TraesCS7A02G390200,3.93
TraesCS7D02G201600,1.66
TraesCS7A02G068600,0.26
TraesCS1A02G409900,1.0
TraesCS3A02G251500,7.49
TraesCS3D02G142300,20.98
TraesCS6B02G459200,0.0
TraesCS5D02G404500,8.15
TraesCS5B02G215500,0.0
TraesCS3D02G093300,1.63
TraesCS4B02G034700,1.74
TraesCS2D02G544900,0.0
TraesCS5D02G540900,0.0
TraesCS4B02G211500,0.06
TraesCS5D02G150100,0.09
TraesCS3D02G381500,0.65
TraesCS6D02G000400,0.05
TraesCS6A02G352100,0.0
TraesCS7B02G391600,0.02
TraesCS2B02G028600,0.0
TraesCS1D02G046700,0.0
TraesCS1D02G143700,0.0
TraesCS1A02G365500,0.0
TraesCS3B02G206400,4.45
TraesCS6A02G418900,3.39
TraesCS6A02G367800,0.0
TraesCS4D02G343000,30.81
TraesCS3A02G064800,0.0
TraesCS3B02G327800,0.0
TraesCS7B02G470200,0.0
TraesCS5B02G137800,0.66
TraesCS2B02G566800,0.0
TraesCS6D02G172900,0.0
TraesCS7A02G172400,0.82
TraesCS2D02G035000,0.02
TraesCS1A02G072700,0.0
TraesCS2B02G443600,1.41
TraesCS5D02G185600,0.0
TraesCS7B02G327000,0.03
TraesCS3A02G172200,3.37
TraesCS5D02G527000,0.0
TraesCS1D02G441600,0.02
TraesCS2A02G198700,3.71
TraesCS5A02G267800,0.0
TraesCS7D02G070600,0.0
TraesCS6B02G146100,1.95
TraesCS2D02G050000,0.0
TraesCS1A02G417000,0.46
TraesCS1A02G294900,0.08
TraesCS3D02G277100,0.04
TraesCS2A02G508800,0.28
TraesCS1B02G185200,0.04
TraesCS3D02G458000,0.0
TraesCS7D02G273100,0.44
TraesCS5D02G099800,7.11
TraesCS6B02G157400,8.96
TraesCS1D02G008500,0.0
TraesCS3A02G426800,57.18
TraesCS6B02G442100,0.02
TraesCS5B02G428300,4.56
TraesCS6A02G058900,0.07
TraesCS2B02G006700,0.0
TraesCS3B02G600117,0.62
TraesCS7B02G175100,11.44
TraesCS3A02G220300,3.65
TraesCS7A02G511700,0.0
TraesCS5D02G342900,0.0
TraesCS1B02G370400,0.0
TraesCS2D02G128100,0.25
TraesCS2A02G409600,0.0
TraesCS6B02G273600,2.66
TraesCS1B02G050700,0.0
