ID,Annotation1,Annotation2
410,Zm00001d028019,Zm00001d028020
411,Zm00001d028019,Zm00001d028022
412,Zm00001d028020,Zm00001d028074
413,Zm00001d028020,Zm00001d028022
414,Zm00001d028024,Zm00001d028026
415,Zm00001d028026,Zm00001d028034
416,Zm00001d028034,Zm00001d028050
417,Zm00001d028034,Zm00001d028040
418,Zm00001d028034,Zm00001d028036
419,Zm00001d028034,Zm00001d028038
420,Zm00001d028036,Zm00001d028038
421,Zm00001d028038,Zm00001d028050
422,Zm00001d028038,Zm00001d028054
423,Zm00001d028038,Zm00001d028105
424,Zm00001d028038,Zm00001d028046
425,Zm00001d028040,Zm00001d028046
426,Zm00001d028040,Zm00001d028042
427,Zm00001d028040,Zm00001d028073
428,Zm00001d028040,Zm00001d028050
429,Zm00001d028043,Zm00001d028045
433,Zm00001d028053,Zm00001d028088
434,Zm00001d028054,Zm00001d028102
435,Zm00001d028054,Zm00001d028183
436,Zm00001d028054,Zm00001d022691
437,Zm00001d028055,Zm00001d028075
438,Zm00001d028055,Zm00001d022693
439,Zm00001d028056,Zm00001d022694
440,Zm00001d028056,Zm00001d028062
441,Zm00001d028063,Zm00001d028073
442,Zm00001d028064,Zm00001d028075
443,Zm00001d028073,Zm00001d028105
444,Zm00001d028073,Zm00001d028097
445,Zm00001d028073,Zm00001d028130
446,Zm00001d028073,Zm00001d028137
447,Zm00001d028073,Zm00001d028162
448,Zm00001d028073,Zm00001d028229
449,Zm00001d028074,Zm00001d028075
450,Zm00001d028074,Zm00001d028159
451,Zm00001d028075,Zm00001d028104
452,Zm00001d028075,Zm00001d028088
453,Zm00001d028075,Zm00001d028084
454,Zm00001d028084,Zm00001d028105
455,Zm00001d028084,Zm00001d028086
456,Zm00001d028084,Zm00001d028088
457,Zm00001d028084,Zm00001d028085
458,Zm00001d028086,Zm00001d028088
459,Zm00001d028089,Zm00001d028105
460,Zm00001d028093,Zm00001d028096
461,Zm00001d028097,Zm00001d028167
462,Zm00001d028097,Zm00001d028098
463,Zm00001d028097,Zm00001d028102
464,Zm00001d028102,Zm00001d028262
465,Zm00001d028104,Zm00001d028218
466,Zm00001d028105,Zm00001d022694
467,Zm00001d028105,Zm00001d028177
468,Zm00001d028105,Zm00001d028229
469,Zm00001d028105,Zm00001d028272
470,Zm00001d028107,Zm00001d028110
471,Zm00001d028110,Zm00001d028114
472,Zm00001d028111,Zm00001d028113
473,Zm00001d028111,Zm00001d022694
474,Zm00001d028111,Zm00001d028161
475,Zm00001d028112,Zm00001d028113
476,Zm00001d028113,Zm00001d028139
477,Zm00001d028113,Zm00001d028203
478,Zm00001d028114,Zm00001d028119
479,Zm00001d028114,Zm00001d028117
480,Zm00001d028117,Zm00001d028119
481,Zm00001d028123,Zm00001d028183
482,Zm00001d028124,Zm00001d028159
483,Zm00001d022694,Zm00001d028140
484,Zm00001d022694,Zm00001d028230
485,Zm00001d028130,Zm00001d028173
486,Zm00001d028130,Zm00001d028178
487,Zm00001d028130,Zm00001d028218
488,Zm00001d028130,Zm00001d028184
489,Zm00001d028130,Zm00001d022695
490,Zm00001d022695,Zm00001d028140
491,Zm00001d028137,Zm00001d028139
492,Zm00001d028144,Zm00001d028153
493,Zm00001d028153,Zm00001d022697
494,Zm00001d022697,Zm00001d028162
495,Zm00001d022697,Zm00001d022699
496,Zm00001d022699,Zm00001d028158
497,Zm00001d028160,Zm00001d028162
498,Zm00001d028161,Zm00001d028162
499,Zm00001d028161,Zm00001d028164
500,Zm00001d028162,Zm00001d028183
501,Zm00001d028162,Zm00001d028217
502,Zm00001d028162,Zm00001d028164
503,Zm00001d028162,Zm00001d028167
504,Zm00001d028165,Zm00001d028167
505,Zm00001d028167,Zm00001d028170
506,Zm00001d028173,Zm00001d028176
