Annotation1,Annotation2,ChIN,ID
Zm00001d001983,Zm00001d001989,165,459
Zm00001d001984,Zm00001d001989,165,460
Zm00001d001986,Zm00001d001988,165,461
Zm00001d001986,Zm00001d001989,165,462
Zm00001d001987,Zm00001d001988,165,463
Zm00001d001987,Zm00001d001989,165,464
Zm00001d001988,Zm00001d001990,165,465
Zm00001d001989,Zm00001d001990,165,466
Zm00001d001988,Zm00001d001993,165,467
Zm00001d001989,Zm00001d001993,165,468
Zm00001d001988,Zm00001d001994,165,469
Zm00001d001989,Zm00001d001994,165,470
Zm00001d001990,Zm00001d001993,165,471
Zm00001d001990,Zm00001d001994,165,472
Zm00001d001993,Zm00001d001995,165,473
Zm00001d001994,Zm00001d001995,165,474
Zm00001d001993,Zm00001d001997,165,475
Zm00001d001994,Zm00001d001997,165,476
Zm00001d001993,Zm00001d001996,165,477
Zm00001d001994,Zm00001d001996,165,478
Zm00001d001995,Zm00001d001999,165,479
Zm00001d001997,Zm00001d001999,165,480
Zm00001d001996,Zm00001d001999,165,481
Zm00001d001995,Zm00001d002000,165,482
Zm00001d001997,Zm00001d002000,165,483
Zm00001d001996,Zm00001d002000,165,484
Zm00001d001995,Zm00001d002001,165,485
Zm00001d001997,Zm00001d002001,165,486
Zm00001d001996,Zm00001d002001,165,487
Zm00001d001999,Zm00001d002000,165,488
Zm00001d001999,Zm00001d002001,165,489
Zm00001d001995,Zm00001d002003,165,490
Zm00001d001997,Zm00001d002003,165,491
Zm00001d001996,Zm00001d002003,165,492
Zm00001d001995,Zm00001d002004,165,493
Zm00001d001997,Zm00001d002004,165,494
Zm00001d001996,Zm00001d002004,165,495
Zm00001d001999,Zm00001d002003,165,496
Zm00001d001999,Zm00001d002004,165,497
Zm00001d002000,Zm00001d002003,165,498
Zm00001d002001,Zm00001d002003,165,499
Zm00001d002000,Zm00001d002004,165,500
Zm00001d002001,Zm00001d002004,165,501
Zm00001d002003,Zm00001d002005,165,502
Zm00001d002004,Zm00001d002005,165,503
Zm00001d001999,Zm00001d002006,165,504
Zm00001d002003,Zm00001d002006,165,505
Zm00001d002004,Zm00001d002006,165,506
Zm00001d002005,Zm00001d002006,165,507
Zm00001d002006,Zm00001d002007,165,508
Zm00001d002006,Zm00001d002008,165,509
Zm00001d002006,Zm00001d002012,165,510
Zm00001d002006,Zm00001d002011,165,511
Zm00001d002007,Zm00001d002012,165,512
Zm00001d002008,Zm00001d002012,165,513
Zm00001d002007,Zm00001d002011,165,514
Zm00001d002008,Zm00001d002011,165,515
Zm00001d001897,Zm00001d002022,15,516
Zm00001d001898,Zm00001d002022,15,517
Zm00001d001899,Zm00001d002022,15,518
Zm00001d001900,Zm00001d002022,15,519
Zm00001d002023,Zm00001d002025,165,520
Zm00001d002024,Zm00001d002025,165,521
Zm00001d002025,Zm00001d002026,165,522
Zm00001d002026,Zm00001d002027,165,523
Zm00001d002026,Zm00001d002028,165,524
Zm00001d002026,Zm00001d002029,165,525
Zm00001d002027,Zm00001d002033,165,526
Zm00001d002028,Zm00001d002033,165,527
Zm00001d002029,Zm00001d002033,165,528
Zm00001d002027,Zm00001d002034,165,529
Zm00001d002028,Zm00001d002034,165,530
Zm00001d002029,Zm00001d002034,165,531
Zm00001d002033,Zm00001d002035,165,532
Zm00001d002034,Zm00001d002035,165,533
Zm00001d002035,Zm00001d002036,165,534
Zm00001d002033,Zm00001d002037,165,535
Zm00001d002034,Zm00001d002037,165,536
Zm00001d002033,Zm00001d002038,165,537
Zm00001d002034,Zm00001d002038,165,538
Zm00001d002033,Zm00001d002039,165,539
Zm00001d002034,Zm00001d002039,165,540
Zm00001d002037,Zm00001d002046,165,541
Zm00001d002038,Zm00001d002046,165,542
Zm00001d002039,Zm00001d002046,165,543
Zm00001d002037,Zm00001d002047,165,544
Zm00001d002038,Zm00001d002047,165,545
Zm00001d002039,Zm00001d002047,165,546
Zm00001d002042,Zm00001d002046,165,547
Zm00001d002043,Zm00001d002046,165,548
Zm00001d002042,Zm00001d002047,165,549
Zm00001d002043,Zm00001d002047,165,550
Zm00001d002006,Zm00001d002051,165,551
Zm00001d002006,Zm00001d002052,165,552
Zm00001d002006,Zm00001d002053,165,553
Zm00001d002006,Zm00001d002054,165,554
Zm00001d002006,Zm00001d002055,165,555
Zm00001d002006,Zm00001d002057,165,556
Zm00001d002006,Zm00001d002056,165,557
Zm00001d002006,Zm00001d002058,165,558
Zm00001d002037,Zm00001d002051,165,559
Zm00001d002038,Zm00001d002051,165,560
Zm00001d002039,Zm00001d002051,165,561
Zm00001d002037,Zm00001d002052,165,562
Zm00001d002038,Zm00001d002052,165,563
Zm00001d002039,Zm00001d002052,165,564
Zm00001d002037,Zm00001d002053,165,565
Zm00001d002038,Zm00001d002053,165,566
Zm00001d002039,Zm00001d002053,165,567
Zm00001d002037,Zm00001d002054,165,568
Zm00001d002038,Zm00001d002054,165,569
Zm00001d002039,Zm00001d002054,165,570
Zm00001d002037,Zm00001d002055,165,571
Zm00001d002038,Zm00001d002055,165,572
Zm00001d002039,Zm00001d002055,165,573
Zm00001d002037,Zm00001d002057,165,574
Zm00001d002038,Zm00001d002057,165,575
Zm00001d002039,Zm00001d002057,165,576
Zm00001d002037,Zm00001d002056,165,577
Zm00001d002038,Zm00001d002056,165,578
Zm00001d002039,Zm00001d002056,165,579
Zm00001d002037,Zm00001d002058,165,580
Zm00001d002038,Zm00001d002058,165,581
Zm00001d002039,Zm00001d002058,165,582
Zm00001d002051,Zm00001d002064,165,583
Zm00001d002052,Zm00001d002064,165,584
Zm00001d002053,Zm00001d002064,165,585
Zm00001d002054,Zm00001d002064,165,586
Zm00001d002055,Zm00001d002064,165,587
Zm00001d002057,Zm00001d002064,165,588
Zm00001d002056,Zm00001d002064,165,589
Zm00001d002058,Zm00001d002064,165,590
Zm00001d002063,Zm00001d002064,165,591
Zm00001d002063,Zm00001d002065,165,592
Zm00001d002064,Zm00001d002065,165,593
Zm00001d002065,Zm00001d002066,165,594
Zm00001d002064,Zm00001d002068,165,595
Zm00001d002065,Zm00001d002068,165,596
Zm00001d002066,Zm00001d002068,165,597
Zm00001d002065,Zm00001d002069,165,598
Zm00001d002068,Zm00001d002069,165,599
Zm00001d002069,Zm00001d002071,165,600
Zm00001d002069,Zm00001d002072,165,601
Zm00001d002068,Zm00001d002074,165,602
Zm00001d002075,Zm00001d002080,165,603
Zm00001d002075,Zm00001d002079,165,604
Zm00001d002080,Zm00001d002082,165,605
Zm00001d002079,Zm00001d002082,165,606
Zm00001d002082,Zm00001d002084,165,607
Zm00001d002083,Zm00001d002084,165,608
Zm00001d002080,Zm00001d002085,165,609
Zm00001d002079,Zm00001d002085,165,610
Zm00001d002080,Zm00001d002086,165,611
Zm00001d002079,Zm00001d002086,165,612
Zm00001d002080,Zm00001d002087,165,613
Zm00001d002079,Zm00001d002087,165,614
Zm00001d002080,Zm00001d002088,165,615
Zm00001d002079,Zm00001d002088,165,616
Zm00001d002080,Zm00001d002089,165,617
Zm00001d002079,Zm00001d002089,165,618
Zm00001d002082,Zm00001d002085,165,619
Zm00001d002082,Zm00001d002086,165,620
Zm00001d002082,Zm00001d002087,165,621
Zm00001d002082,Zm00001d002088,165,622
Zm00001d002082,Zm00001d002089,165,623
Zm00001d002083,Zm00001d002085,165,624
Zm00001d002083,Zm00001d002086,165,625
Zm00001d002083,Zm00001d002087,165,626
Zm00001d002083,Zm00001d002088,165,627
Zm00001d002083,Zm00001d002089,165,628
Zm00001d002084,Zm00001d002085,165,629
Zm00001d002084,Zm00001d002086,165,630
Zm00001d002084,Zm00001d002087,165,631
