ChIN,Annotation1,Annotation2,ID
42,Zm00001d012464,Zm00001d012471,47998
42,Zm00001d012465,Zm00001d012471,47999
42,Zm00001d012466,Zm00001d012467,48000
42,Zm00001d012466,Zm00001d012468,48001
42,Zm00001d012466,Zm00001d012469,48002
42,Zm00001d012466,Zm00001d012472,48003
42,Zm00001d012466,Zm00001d012471,48004
42,Zm00001d012467,Zm00001d012473,48005
42,Zm00001d012468,Zm00001d012473,48006
42,Zm00001d012469,Zm00001d012473,48007
42,Zm00001d012472,Zm00001d012473,48008
42,Zm00001d012471,Zm00001d012473,48009
42,Zm00001d012473,Zm00001d012474,48010
42,Zm00001d012467,Zm00001d012476,48011
42,Zm00001d012468,Zm00001d012476,48012
42,Zm00001d012469,Zm00001d012476,48013
42,Zm00001d012472,Zm00001d012476,48014
42,Zm00001d012471,Zm00001d012476,48015
42,Zm00001d012467,Zm00001d012477,48016
42,Zm00001d012468,Zm00001d012477,48017
42,Zm00001d012469,Zm00001d012477,48018
42,Zm00001d012472,Zm00001d012477,48019
42,Zm00001d012471,Zm00001d012477,48020
42,Zm00001d012467,Zm00001d012478,48021
42,Zm00001d012468,Zm00001d012478,48022
42,Zm00001d012469,Zm00001d012478,48023
42,Zm00001d012472,Zm00001d012478,48024
42,Zm00001d012471,Zm00001d012478,48025
42,Zm00001d012473,Zm00001d012476,48026
42,Zm00001d012473,Zm00001d012477,48027
42,Zm00001d012473,Zm00001d012478,48028
42,Zm00001d012476,Zm00001d012479,48029
42,Zm00001d012477,Zm00001d012479,48030
42,Zm00001d012478,Zm00001d012479,48031
42,Zm00001d012467,Zm00001d012480,48032
42,Zm00001d012468,Zm00001d012480,48033
42,Zm00001d012469,Zm00001d012480,48034
42,Zm00001d012472,Zm00001d012480,48035
42,Zm00001d012471,Zm00001d012480,48036
42,Zm00001d012476,Zm00001d012480,48037
42,Zm00001d012477,Zm00001d012480,48038
42,Zm00001d012478,Zm00001d012480,48039
42,Zm00001d012479,Zm00001d012480,48040
42,Zm00001d012480,Zm00001d012482,48041
42,Zm00001d012480,Zm00001d012484,48042
42,Zm00001d012480,Zm00001d012485,48043
42,Zm00001d012482,Zm00001d012484,48044
42,Zm00001d012482,Zm00001d012485,48045
42,Zm00001d012480,Zm00001d012486,48046
42,Zm00001d012480,Zm00001d012485,48047
42,Zm00001d012482,Zm00001d012486,48048
42,Zm00001d012482,Zm00001d012485,48049
42,Zm00001d012486,Zm00001d012488,48050
42,Zm00001d012485,Zm00001d012488,48051
42,Zm00001d012488,Zm00001d012492,48052
42,Zm00001d012488,Zm00001d012493,48053
42,Zm00001d012492,Zm00001d012498,48054
42,Zm00001d012493,Zm00001d012498,48055
42,Zm00001d012492,Zm00001d012499,48056
42,Zm00001d012493,Zm00001d012499,48057
42,Zm00001d012492,Zm00001d012501,48058
42,Zm00001d012493,Zm00001d012501,48059
42,Zm00001d012492,Zm00001d012500,48060
42,Zm00001d012493,Zm00001d012500,48061
42,Zm00001d012494,Zm00001d012498,48062
42,Zm00001d012494,Zm00001d012499,48063
42,Zm00001d012494,Zm00001d012501,48064
42,Zm00001d012494,Zm00001d012500,48065
19,Zm00001d012510,Zm00001d012511,48075
19,Zm00001d012511,Zm00001d012512,48076
19,Zm00001d012511,Zm00001d012513,48077
19,Zm00001d012512,Zm00001d012514,48078
19,Zm00001d012513,Zm00001d012514,48079
19,Zm00001d012514,Zm00001d012515,48080
19,Zm00001d012514,Zm00001d012516,48081
19,Zm00001d012515,Zm00001d012516,48082
19,Zm00001d012516,Zm00001d012517,48083
19,Zm00001d012514,Zm00001d012518,48084
19,Zm00001d012515,Zm00001d012518,48085
19,Zm00001d012516,Zm00001d012518,48086
19,Zm00001d012516,Zm00001d012520,48087
19,Zm00001d012516,Zm00001d012521,48088
19,Zm00001d012518,Zm00001d012520,48089
19,Zm00001d012518,Zm00001d012521,48090
19,Zm00001d012520,Zm00001d012522,48091
